Year,County FIPS,County,State,Bivariate Tertile,Diagnosed Diabetes (Percentage) ,Obesity (Percentage) 
2021,53001,Adams County,Washington,MM,8.7,31.6
2021,53003,Asotin County,Washington,HM,9.1,31.4
2021,53005,Benton County,Washington,MM,8.3,31.8
2021,53007,Chelan County,Washington,LL,6.9,28.1
2021,53009,Clallam County,Washington,LL,7.4,27.1
2021,53011,Clark County,Washington,MH,8,32.5
2021,53013,Columbia County,Washington,HM,8.8,28.6
2021,53015,Cowlitz County,Washington,MH,8.5,37.7
2021,53017,Douglas County,Washington,MM,8.5,28.5
2021,53019,Ferry County,Washington,HL,9.5,27.4
2021,53021,Franklin County,Washington,MH,8.1,36.6
2021,53023,Garfield County,Washington,MH,8.7,37.1
2021,53025,Grant County,Washington,HH,8.9,33.3
2021,53027,Grays Harbor County,Washington,HH,10.5,33.9
2021,53029,Island County,Washington,LM,7.8,28.6
2021,53031,Jefferson County,Washington,LL,6.3,22.9
2021,53033,King County,Washington,LL,6.5,22.9
2021,53035,Kitsap County,Washington,HM,8.9,30.7
2021,53037,Kittitas County,Washington,ML,8,26.7
2021,53039,Klickitat County,Washington,LL,6.7,24.3
2021,53041,Lewis County,Washington,MH,8.2,33
2021,53043,Lincoln County,Washington,LH,7.8,32.7
2021,53045,Mason County,Washington,MH,8.5,32.5
2021,53047,Okanogan County,Washington,HL,8.8,28
2021,53049,Pacific County,Washington,HH,9.7,34.5
2021,53051,Pend Oreille County,Washington,LL,7.2,27.2
2021,53053,Pierce County,Washington,HH,9.7,33.2
2021,53055,San Juan County,Washington,LL,4.7,16.5
2021,53057,Skagit County,Washington,LL,6.7,28.1
2021,53059,Skamania County,Washington,LL,7.5,27.3
2021,53061,Snohomish County,Washington,MM,7.9,32.3
2021,53063,Spokane County,Washington,MM,8.7,29.8
2021,53065,Stevens County,Washington,LL,7.5,28.2
2021,53067,Thurston County,Washington,HM,8.9,31
2021,53069,Wahkiakum County,Washington,HM,10.4,30.4
2021,53071,Walla Walla County,Washington,LM,7.7,28.4
2021,53073,Whatcom County,Washington,LL,6.3,22.7
2021,53075,Whitman County,Washington,LM,7.3,31.7
2021,53077,Yakima County,Washington,HH,10.2,38
