Year,County FIPS,County,State,Bivariate Tertile,Diagnosed Diabetes (Percentage) ,Obesity (Percentage) 
2019,53001,Adams County,Washington,HM,9.3,30.7
2019,53003,Asotin County,Washington,HM,8.8,29.2
2019,53005,Benton County,Washington,MM,8.2,30.1
2019,53007,Chelan County,Washington,LL,7.5,23.6
2019,53009,Clallam County,Washington,LL,7.8,22.3
2019,53011,Clark County,Washington,HH,8.9,33.1
2019,53013,Columbia County,Washington,HL,9.5,25
2019,53015,Cowlitz County,Washington,HH,9.7,38.2
2019,53017,Douglas County,Washington,MH,8.7,33.1
2019,53019,Ferry County,Washington,LL,7.8,25.5
2019,53021,Franklin County,Washington,HH,10,31.1
2019,53023,Garfield County,Washington,ML,8.5,27.9
2019,53025,Grant County,Washington,HH,11.1,37.9
2019,53027,Grays Harbor County,Washington,HH,10.5,35.4
2019,53029,Island County,Washington,LL,7.6,24.1
2019,53031,Jefferson County,Washington,LL,5.7,22
2019,53033,King County,Washington,LL,7.3,22.5
2019,53035,Kitsap County,Washington,LH,7.6,31
2019,53037,Kittitas County,Washington,LM,7.3,28.7
2019,53039,Klickitat County,Washington,MM,8.6,29.2
2019,53041,Lewis County,Washington,HM,10.1,29.7
2019,53043,Lincoln County,Washington,LM,7.6,30.5
2019,53045,Mason County,Washington,MH,8,33.6
2019,53047,Okanogan County,Washington,LL,7.7,24.3
2019,53049,Pacific County,Washington,MM,8.4,28.1
2019,53051,Pend Oreille County,Washington,ML,8.5,25.8
2019,53053,Pierce County,Washington,HH,10.5,30.9
2019,53055,San Juan County,Washington,LL,4.5,19.8
2019,53057,Skagit County,Washington,LL,7.5,25.4
2019,53059,Skamania County,Washington,MM,8.1,29.1
2019,53061,Snohomish County,Washington,MM,8.7,30.2
2019,53063,Spokane County,Washington,MM,8.1,29.9
2019,53065,Stevens County,Washington,LM,7.2,30.2
2019,53067,Thurston County,Washington,LH,7.8,34.2
2019,53069,Wahkiakum County,Washington,HH,9,34.6
2019,53071,Walla Walla County,Washington,ML,8.1,26.1
2019,53073,Whatcom County,Washington,LM,7.1,29.9
2019,53075,Whitman County,Washington,ML,8.4,25.4
2019,53077,Yakima County,Washington,HH,10.7,34.2
